Rank,Player,Team,Mat,Inns,4s
1,Travis Head Sunrisers,Hyderabad,3,3,136
2,Phil Salt Royal Challengers,Bengaluru,2,2,88
3,Mitchell Marsh Lucknow Super,Giants,2,2,124
4,Nicholas Pooran Lucknow Super,Giants,2,2,145
5,Ishan Kishan Sunrisers,Hyderabad,3,3,108
6,Dhruv Jurel Rajasthan,Royals,2,2,103
7,Sai Sudharsan Gujarat,Titans,2,2,137
8,Quinton de Kock Kolkata Knight,Riders,2,2,101
9,Jos Buttler Gujarat,Titans,2,2,93
10,Rajat Patidar Royal Challengers,Bengaluru,2,2,85
11,Sanju Samson Rajasthan,Royals,2,2,79
12,Heinrich Klaasen Sunrisers,Hyderabad,3,3,92
13,Priyansh Arya Punjab,Kings,1,1,47
14,Rachin Ravindra Chennai Super,Kings,2,2,106
15,Ajinkya Rahane Kolkata Knight,Riders,2,2,74
