Rank,Player,Team,Mat,Inns,Runs,HS,Avg,SR,100s,50s,4s,6s
1,Nicholas Pooran Lucknow Super,Giants,2,2,145,75,72.50,258.92,0,2,12,13
2,Sai Sudharsan Gujarat,Titans,2,2,137,74,68.50,167.07,0,2,9,8
3,Travis Head Sunrisers,Hyderabad,3,3,136,67,45.33,191.54,0,1,18,6
4,Mitchell Marsh Lucknow Super,Giants,2,2,124,72,62.00,185.07,0,2,13,8
5,Aniket Verma Sunrisers,Hyderabad,3,3,117,74,39.00,205.26,0,1,5,12
6,Ishan Kishan Sunrisers,Hyderabad,3,3,108,106*,54.00,203.77,1,0,11,6
7,Rachin Ravindra Chennai Super,Kings,2,2,106,65*,106.00,139.47,0,1,7,4
8,Dhruv Jurel Rajasthan,Royals,2,2,103,70,51.50,163.49,0,1,10,6
9,Quinton de Kock Kolkata Knight,Riders,2,2,101,97*,101.00,153.03,0,1,9,6
10,Jos Buttler Gujarat,Titans,2,2,93,54,46.50,163.15,0,1,9,3
11,Heinrich Klaasen Sunrisers,Hyderabad,3,3,92,34,30.66,184.00,0,0,9,4
12,Virat Kohli Royal Challengers,Bengaluru,2,2,90,59*,90.00,136.36,0,1,6,4
13,Phil Salt Royal Challengers,Bengaluru,2,2,88,56,44.00,187.23,0,1,14,3
14,Rajat Patidar Royal Challengers,Bengaluru,2,2,85,51,42.50,177.08,0,1,9,4
