Rank,Player,Team,Mat,Inns,Wkts,SR
1,Nicholas Pooran Lucknow Super,Giants,2,2,145,75
2,Sai Sudharsan Gujarat,Titans,2,2,137,74
3,Travis Head Sunrisers,Hyderabad,3,3,136,67
4,Mitchell Marsh Lucknow Super,Giants,2,2,124,72
5,Aniket Verma Sunrisers,Hyderabad,3,3,117,74
6,Ishan Kishan Sunrisers,Hyderabad,3,3,108,106
7,Rachin Ravindra Chennai Super,Kings,2,2,106,65
8,Dhruv Jurel Rajasthan,Royals,2,2,103,70
9,Quinton de Kock Kolkata Knight,Riders,2,2,101,97
10,Shreyas Iyer Punjab,Kings,1,1,97,97
11,Jos Buttler Gujarat,Titans,2,2,93,54
12,Heinrich Klaasen Sunrisers,Hyderabad,3,3,92,34
13,Virat Kohli Royal Challengers,Bengaluru,2,2,90,59
14,Phil Salt Royal Challengers,Bengaluru,2,2,88,56
15,Rajat Patidar Royal Challengers,Bengaluru,2,2,85,51
16,Shardul Thakur Lucknow Super,Giants,2,6,0,53
17,Noor Ahmad Chennai Super,Kings,2,8,0,54
18,Vignesh Puthur Mumbai,Indians,1,4,0,32
19,Zeeshan Ansari Sunrisers,Hyderabad,1,4,0,42
20,Kuldeep Yadav Delhi,Capitals,2,8,0,42
21,Josh Hazlewood Royal Challengers,Bengaluru,2,8,0,43
22,Tushar Deshpande Rajasthan,Royals,2,5,0,51
23,Khaleel Ahmed Chennai Super,Kings,2,8,0,57
24,Sai Kishore Gujarat,Titans,2,8,0,67
25,Yash Dayal Royal Challengers,Bengaluru,2,6,0,43
26,Krunal Pandya Royal Challengers,Bengaluru,2,6,0,55
27,Moeen Ali Kolkata Knight,Riders,1,4,0,23
28,Hardik Pandya Mumbai,Indians,1,4,0,29
29,Matheesha Pathirana Chennai Super,Kings,1,4,0,36
