Rank,Player,Team,Mat,Inns,Wkts
1,Nicholas Pooran Lucknow Super,Giants,2,2,145
2,Sai Sudharsan Gujarat,Titans,2,2,137
3,Travis Head Sunrisers,Hyderabad,3,3,136
4,Mitchell Marsh Lucknow Super,Giants,2,2,124
5,Aniket Verma Sunrisers,Hyderabad,3,3,117
6,Ishan Kishan Sunrisers,Hyderabad,3,3,108
7,Rachin Ravindra Chennai Super,Kings,2,2,106
8,Dhruv Jurel Rajasthan,Royals,2,2,103
9,Quinton de Kock Kolkata Knight,Riders,2,2,101
10,Shreyas Iyer Punjab,Kings,1,1,97
11,Jos Buttler Gujarat,Titans,2,2,93
12,Heinrich Klaasen Sunrisers,Hyderabad,3,3,92
13,Virat Kohli Royal Challengers,Bengaluru,2,2,90
14,Phil Salt Royal Challengers,Bengaluru,2,2,88
15,Rajat Patidar Royal Challengers,Bengaluru,2,2,85
