venue,city,state,pitch_report,average_score,highest_score,lowest_score,pitch_characteristics,current_temp,current_condition,humidity,wind_speed,forecast,last_updated
Eden Gardens,Kolkata,West Bengal,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Kolkata,West%20Bengal,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
M. Chinnaswamy Stadium,Bengaluru,Karnataka,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Bengaluru,Karnataka,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
MA Chidambaram Stadium,Chennai,Tamil Nadu,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Chennai,Tamil%20Nadu,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Wankhede Stadium,Mumbai,Maharashtra,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Mumbai,Maharashtra,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Arun Jaitley Stadium,Delhi,Delhi,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Delhi,Delhi,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Rajiv Gandhi International Stadium,Hyderabad,Telangana,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Hyderabad,Telangana,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Narendra Modi Stadium,Ahmedabad,Gujarat,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Ahmedabad,Gujarat,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Lucknow,Uttar%20Pradesh,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Sawai Mansingh Stadium,Jaipur,Rajasthan,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Jaipur,Rajasthan,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Barsapara Cricket Stadium,Guwahati,Assam,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Guwahati,Assam,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Andhra Pradesh,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Visakhapatnam,Andhra%20Pradesh,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Dharamsala,Himachal%20Pradesh,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Punjab Cricket Association IS Bindra Stadium,Mohali,Punjab,Not available,Not available,Not available,Not available,Not available,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Mohali,Punjab,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
